"lfd.
Nr.",Liegenschaft,Adresse,PLZ,"Wärme-
versorgung",Wärmeverbrauch witterungsbereinigt [kWh],Stromverbrauch [kWh],Bemerkungen
156,Kita,Tegeler Str. 13,13353,"Strom, Heizung","44,017",,
157,Seniorenfreizeitstätte Torstraße,Torstr. 203,10115,,,"1,605","Wärmeversorgung unbekannt, Mietobjekt"
158,FrTr,Weinmeisterstr. 15,10178,Fernwärme,"106,020","21,900",
159,Spielplatz Spielhaus Pankeufer,Wilhelm-Kuhr-Str. 50,13359,Gas,"10,327","4,673",
160,SGA Dohnagestell,Dohnagestell 10,13351,Heizöl,"635,447","112,863",
161,Revierunterkunft Gartenplatz,Gartenplatz,13355,Heizöl,"9,101",427,
162,"ehem. Urnenfriedhof Gerichtsstraße, Kolumbarium",Gerichtstr. 37-38,13347,"Strom, WP","7,676","7,799",
163,Pumpwerk Tiergarten,Katharina Heinroth Ufer 2-3,10787,Gas,"109,888","133,441",
164,Ausbildungsstätte SGA (Alter Garnisonfriedhof),Kleine Rosenthaler Str. 3,10119,Gas,"22,321","2,995",
165,"Lagerplatz Nordufer, Beleuchtung",Nordufer 30,13351,,,910,
166,Revierunterkunft Pankstraße,Pankstr. 17,13357,Fernwärme,"48,527","27,333",
167,Revierunterkunft Ruheplatz,Ruheplatzstr. 3,13347,Fernwärme,"1,749","4,499",
168,Revierunterkunft Rungestraße,Rungestr. 31,10179,Fernwärme,"83,552","10,675",
169,Werkhof Rungestraße,Rungestr. 34,10179,,-,"1,603",keine Wärmeversorgung
170,Revierunterkunft Scharnhorststraße,Scharnhorststr. 33-34,10115,,-,"12,299",keine Wärmeversorgung
171,Urnenfriedhof Seestraße,Seestr. 91-93a,13347,Heizöl,"75,441","12,707",
172,Bürodienstgebäude Straße des 17. Juni,Straße des 17. Juni 31,10785,Heizöl,"474,944","56,666",
173,Friedhof Turiner Straße,Turiner Str. 9,13347,Gas,"22,832","1,807",
174,Depot Schillerpark,Ungarnstr. 60,13349,Heizöl,"102,876","6,307",Stromverbrauch 2020 unbekannt
175,Revierunterkunft Unionstraße,Unionstr. 12,10551,Fernwärme,"84,386","5,985",
176,Depot SGA Rehberge,Volkspark Rehberge,13351,Heizöl,"76,371","15,765",
177,Revierunterkunft Weinbergsweg,Weinbergsweg 20,10119,"Strom, Heizung",,"3,334",
178,Revierunterkunft Humboldthain,Wiesenstr. 1b-d,13357,Heizöl,"142,202",,Stromversorgung durch Nr. 117
179,Brunnen der Völkerfreundschaft,Alexanderplatz,10178,,,"106,400",
180,Weltzeituhr,Alexanderplatz 1 y,10178,,,"8,039",
181,Wegebeleuchtung Ulap-Park,Alt-Moabit 4,10557,,,"4,262",
182,Springbrunnen,Alt-Moabit 88 y,10559,,,"5,256",
183,Uferbeleuchtung Spreepalais,Anna-Louisa-Karsch-Str. 2 y,10178,,,0,
184,Wegebeleuchung Bartningallee,Bartningallee 20 z,10557,,,"1,795",
185,Denkmal Bücherverbrennung,Bebelplatz,10117,,,"3,580",
186,Brunnen Bebelplatz,Bebelplatz,10117,,,0,
187,Pumpe Beregnungsanlage,Bellevuestr. 10 y,10785,,,"6,441",
188,Wohngebäude und Gewerbe Plötzensee,Dohnagestell 4,13351,Heizöl,"135,138","1,797",
189,Tiefbrunnen Schillerpark,Edinburger Str. 53 y,13349,,,482,
190,Wegebeleuchtung Grünanlage Engelbecken,Engeldamm 34 y,10179,,,117,
191,Treppenbeleuchtung Reichtagsufer/Friedrich-Ebert-Platz,Friedrich-Ebert-Platz 1 y,10557,,,"1,850",
192,Wegebeleuchtung Friedrich-List-Ufer,Friedrich-List-Ufer 8000,10557,,,307,
193,Französicher Dom,Gendarmenmarkt 7,10117,Fernwärme,"219,843","58,701",
194,"Siegessäule, Tunnelhaus A-D",Grosser Stern,10623,,,"85,412",
195,Hausnummernbeleuchtung Kolonie Grüntal,Grüntaler Str. 57 z,13359,,,141,
196,Historischer Brunnen (Hausvogteiplatz),Hausvogteiplatz 8000,10117,,,"8,189",
197,Pfauenbrunnen,Holzmarktstr. 8000,10179,,,"2,128",
198,Wegebeleuchtung Ingeborg-Drewitz-Allee,Ingeborg-Drewitz-Allee 8000,10557,,,"1,653",
199,Plansche am Nordbahnhof,Invalidenstr. 125 y,10115,,,520,
200,Geldzählerbrunnen (Pappelplatz),Invalidenstr. 150 y,10115,,,"4,659",
201,Wasseranlage von Girot (Invalidenbrunnen),Invalidenstr. 47,10115,,,"18,559",
202,Beleuchtung Pumpwerk Moabiter Werder,Joachim-Karnatz-Allee 8000,10557,,,"13,283",
203,Schrankenanlage John-Foster-Dulles-Allee,John-Foster-Dulles-Allee 8000,10557,,,0,
204,"Tritonbrunnen (Großfürstenplatz, Großer Tiergarten)",John-Foster-Dulles-Allee 8000,10557,,,"1,380",
205,Molkenmarktbrunnen (Molkenmarkt/Grunerstraße),Jüdenstr.,10178,,,"3,030",
206,Uferbeleuchtung Wanderweg (Kaiserin-Augusta-Allee),Kaiserin-Augusta-Allee 114,10553,,,"1,719",
207,Uferbeleuchtung Kapelle-Ufer,Kapelle-Ufer 8002,10115,,,975,
208,Neptunbrunnen (Spandauer Straße),Karl-Liebknecht-Str. 8 y,10178,,,"64,090",
209,Gewerbe,Kiautschoustr. 10-11,13353,,,0,
210,Wegebeleuchtung Sprengelpark,Kiautschoustr. 11 y,13353,,,26,
211,Wegebeleuchtung Kieler Straße,Kieler Str. 1 z,10115,,,296,
212,Wegebeleuchtung Koloniestraße,Koloniestr. 131 y,13359,,,"1,248",
213,Pumpwerk Spreebogenpark,Konrad-Adenauer-Str. 8000,10557,,,"52,736",
214,Wegebeleuchtung Spreebogenpark,Konrad-Adenauer-Str. 8000,10557,,,"2,800",
215,Ammonitenbrunnen (Olof-Palme-Platz),Kurfürstenstr. 8000,10787,,,"2,965",
216,Spindlerbrunnen (Spittelmarkt),Kurstr. 33 y,10117,,,"9,690",
217,Beleuchtung Geschichtspark ehem. Zellengefängnis Moabit,Lehrter Str. 5y,10557,,,"2,423",
218,Bewässerungsanlage Leipziger Platz,Leipziger Platz 15 y,10117,,,"3,542",
219,Bewässerungsanlage Leipziger Platz Süd,Leipziger Platz 8 y,10117,,,613,
220,Beleuchtung Lessingdenkmal,Lennestr. 8001,10785,,,396,
221,Indischer Brunnen (Luisenstädtischer Kanal),Leuschnerdamm 15 y,10999,,,"24,748",
222,Wegebeleuchtung Tilla-Durieux-Park,Linkstr. 12 y,10785,,,"1,257",
223,Uferbeleuchtung Schiffbauerdamm,Luisenstr. 30 y,10117,,,325,
224,Moderner Brunnen (Lustgarten),Lustgarten 8000,10178,,,"67,700",
225,Brunnen (Kieselwaschbeton),Lützowplatz 11 y,10785,,,"1,439",
226,Bewässerungsanlage Gendarmenmarkt,Mohrenstr. 8000,10117,,,8,
227,Uferbeleuchtung Monbijou-Park,Monbijoustr. 8000,10117,,,"3,163",
228,Beleuchtung und Brunnen (Tanz auf dem Vulkan ),Nettelbeckplatz 8000,13347,,,"26,034",
229,"Kleine Liebessäule (Dorothea-Schlegel-Platz), Beleuchtung",Neustädtische Kirchstr. 9 y,10117,,,"3,808",
230,Jugendgästehaus Nordufer,Nordufer 28,13351,Heizöl,,"37,656",eigene Wärmeversorgung
231,Wegebeleuchtung Monbijoupark,Oranienburger Str. 80 y,10178,,,"35,178",
232,Brunnenschale mit Fontäne (Brunnenplatz),Pankstr. 8000,13357,,,"7,786",
233,Historische Brunnen (Pariser Platz),Pariser Platz 8000,10117,,,"67,376",
234,Wegebeleuchtung Bundespräsidentendreieck,Paulstr. 20 a,10557,,,799,
235,Wegebeleuchtung Kolonie Togo,Petersallee 17,13351,,,0,
236,Brunnenstube,Platz der Republik 8000,10557,,,"10,448",
237,Wappenbrunnen (Nikolaikirchplatz),Propststr. 11,10178,,,"2,954",
238,Pavillon Minigolfplatz Fritz-Schloß-Park,Rathenower Str. 11 y,10559,Gas,"6,777","4,565",
239,Beleuchtung Robert-Koch-Denkmal,Robert-Koch-Platz 8000,10115,,,0,
240,Bewässerung Robert-Koch-Platz/Beleuchtung Emil-Fischer-Den,Robert-Koch-Platz 8000,10115,,,0,
241,Bewässerungsanlage Rosa-Luxemburg-Platz,Rosa-Luxemburg-Str. 8000,10178,,,"1,142",
242,Plansche Schillerpark,Schillerpark,13349,,,"6,901",
243,Infopavillion/Kiosk,Schillerpark,13349,Gas,"10,862","29,536",
244,Pumpe Bewässerungsanlage Hochbeet,Schillingstr. 12 y,10179,,,420,
245,ehem. Jüdisches Krankenhaus Berlin Wohnpflegezentrum,Schulstr. 97,13347,Fernwärme,-,"72,842","Übernahme 2019, seit 2020 keine Wärmeversorgung"
246,Beleuchtung Hermann Schulze-Delitzsch Denkmal,Schulze-Delitzsch-Platz 8000,10179,,,1,
247,2 ehem. Dienstwohnung des Bäderamtes,Seydlitzstr. 11,10557,,,0,
248,Plansche Singerstraße,Singerstr. 115 y,10179,,,3,
249,Hausnummernbeleuchtung Kolonie Eintracht an der Panke,Soldiner Str. 76 z,13359,,,280,
250,Wegebeleuchtung Uferpromenade Kupfergraben,Sperlingsgasse 8000,10178,,,747,
251,Brunnenschale im Rosengarten (Großer Tiergarten),Straße des 17. Juni 8010,10557,,,10,
252,Schwellenbrunnen (Nordseite Vinetaplatz),Swinemünder Str. 95 y,13355,,,299,
253,Uferbeleuchtung Monbijou-Park Brücke,Tucholskystr. 8000,10117,,,"2,762",
254,Beleuchtung Reiterstandbild Friedrichs des Großen,Unter den Linden,10117,,,"1,553",
255,Wegebeleuchtung Volkspark Weinbergsweg,Weinbergsweg 10,10119,,,"25,952",
256,Seniorenpflegeeinrichtung Weinbergsweg,Weinbergsweg 14,10119,Gas,"850,803","268,171",
257,Bärenbrunnen (Werderscher Markt),Werderscher Markt 1 y,10117,,,"4,595",
258,Plansche Weydemeyerstraße,Weydemeyerstr. 11 y,10178,,,"2,219",
259,Brunnen (Kanzleramt),Willy-Brandt-Str. 8000,10557,,,"18,215",
260,Kulturhaus Mitte,Auguststr. 21 Vorderhaus,10117,Fernwärme,"59,686","7,958",
261,Klosterruine Mitte,Klosterstr. 73A,10179,,,"1,000",
262,Bärenzwinger Rungestraße,Köllnischer Park,10179,"Strom, Heizung","4,546","22,126",
263,"Institut für Schauspiel, Film- und Fernsehberufe",Seestr. 64,13347,,,"7,405",
264,Fil. Musikschule Fanny Hensel Swinemünder Straße,Swinemünder Str. 80,13355,Gas,"99,449","16,914",
265,Fil. Musikschule Fanny Hensel Wallstraße/JE Oase,Wallstr. 42 / Wallstr. 43,10179,Fernwärme,"186,103","36,650",
